Course Section,Course Subject,Course Number,Section Number,Academic Level,Section Status,Section Title,Term,Number of Registered Students,Number of Waitlisted Students with Seat Offer,Number of Waitlisted Students,Number of Registered Students and Active Seat Offer Notifications,Section Capacity,Wait List Capacity,Instructional Format,Delivery Mode,Instructor
AANB_V 530-A_002,AANB_V,530,A_002,Graduate,Closed,Directed Studies,W2,0,0,0,0,0,0,Independent Study,In Person Learning,
AANB_V 530-B_002,AANB_V,530,B_002,Graduate,Closed,Directed Studies,W2,0,0,0,0,0,0,Independent Study,In Person Learning,
AANB_V 530-C_002,AANB_V,530,C_002,Graduate,Closed,Directed Studies,W2,0,0,0,0,0,0,Independent Study,In Person Learning,
AANB_V 549-A_002,AANB_V,549,A_002,Graduate,Open,Master's Thesis,W2,0,0,0,0,20,0,Thesis,In Person Learning,
AANB_V 549-B_002,AANB_V,549,B_002,Graduate,Open,Master's Thesis,W2,0,0,0,0,10,0,Thesis,In Person Learning,
AANB_V 649-002,AANB_V,649,002,Graduate,Open,Doctoral Dissertation,W2,1,0,0,1,20,0,Thesis,In Person Learning,
APBI_V 200-001,APBI_V,200,001,Undergraduate,Open,Introduction to Soil Science,W2,105,0,0,105,150,0,Lecture,In Person Learning,Sandra Brown
APBI_V 200-002,APBI_V,200,002,Undergraduate,Open,Introduction to Soil Science,W2,109,0,0,109,150,0,Lecture,In Person Learning,Maja Krzic
APBI_V 200-L01,APBI_V,200,L01,Undergraduate,Open,Introduction to Soil Science,W2,27,0,0,27,30,0,Laboratory,In Person Learning,
APBI_V 200-L02,APBI_V,200,L02,Undergraduate,Closed,Introduction to Soil Science,W2,30,0,0,30,30,0,Laboratory,In Person Learning,
APBI_V 200-L03,APBI_V,200,L03,Undergraduate,Open,Introduction to Soil Science,W2,22,0,0,22,30,0,Laboratory,In Person Learning,
APBI_V 200-L04,APBI_V,200,L04,Undergraduate,Closed,Introduction to Soil Science,W2,30,0,0,30,30,0,Laboratory,In Person Learning,
APBI_V 200-L05,APBI_V,200,L05,Undergraduate,Open,Introduction to Soil Science,W2,29,0,0,29,30,0,Laboratory,In Person Learning,
APBI_V 200-L06,APBI_V,200,L06,Undergraduate,Open,Introduction to Soil Science,W2,22,0,0,22,30,0,Laboratory,In Person Learning,
APBI_V 200-L07,APBI_V,200,L07,Undergraduate,Open,Introduction to Soil Science,W2,9,0,0,9,30,0,Laboratory,In Person Learning,
APBI_V 200-L08,APBI_V,200,L08,Undergraduate,Open,Introduction to Soil Science,W2,18,0,0,18,30,0,Laboratory,In Person Learning,
APBI_V 200-L09,APBI_V,200,L09,Undergraduate,Open,Introduction to Soil Science,W2,7,0,0,7,30,0,Laboratory,In Person Learning,
APBI_V 200-L10,APBI_V,200,L10,Undergraduate,Open,Introduction to Soil Science,W2,20,0,0,20,30,0,Laboratory,In Person Learning,
APBI_V 200-PR1,APBI_V,200,PR1,Undergraduate,Closed,Introduction to Soil Science,W2,0,0,0,0,0,0,Laboratory,In Person Learning,
APBI_V 200-PR2,APBI_V,200,PR2,Undergraduate,Closed,Introduction to Soil Science,W2,0,0,0,0,0,0,Laboratory,In Person Learning,
APBI_V 200-PR3,APBI_V,200,PR3,Undergraduate,Closed,Introduction to Soil Science,W2,0,0,0,0,0,0,Laboratory,In Person Learning,
APBI_V 200-PR4,APBI_V,200,PR4,Undergraduate,Closed,Introduction to Soil Science,W2,0,0,0,0,0,0,Laboratory,In Person Learning,
APBI_V 210-001,APBI_V,210,001,Undergraduate,Open,Vascular Plants,W2,13,0,0,13,20,0,Lecture,In Person Learning,"Sean Graham

Shona Margaret Ellis"
APBI_V 210-L01,APBI_V,210,L01,Undergraduate,Open,Vascular Plants,W2,4,0,0,4,5,0,Laboratory,In Person Learning,Shona Margaret Ellis
APBI_V 210-L02,APBI_V,210,L02,Undergraduate,Preliminary,Vascular Plants,W2,0,0,0,0,0,0,Laboratory,In Person Learning,
APBI_V 210-L03,APBI_V,210,L03,Undergraduate,Open,Vascular Plants,W2,4,0,0,4,10,0,Laboratory,In Person Learning,Shona Margaret Ellis
APBI_V 210-L05,APBI_V,210,L05,Undergraduate,Closed,Vascular Plants,W2,5,0,0,5,5,0,Laboratory,In Person Learning,Shona Margaret Ellis
APBI_V 210-L06,APBI_V,210,L06,Undergraduate,Open,Vascular Plants,W2,0,0,0,0,5,0,Laboratory,In Person Learning,Shona Margaret Ellis
APBI_V 210-L08,APBI_V,210,L08,Undergraduate,Open,Vascular Plants,W2,0,0,0,0,5,0,Laboratory,In Person Learning,Shona Margaret Ellis
APBI_V 214-002,APBI_V,214,002,Undergraduate,Closed,Animal Sheltering and Companion Animal Support Services,W2,50,0,14,50,50,14,Lecture,In Person Learning,Alexandra Protopopova
APBI_V 265-001,APBI_V,265,001,Undergraduate,Open,Sustainable Agriculture and Food Systems,W2,39,0,0,39,43,0,Lecture,In Person Learning,Delisa Lewis
APBI_V 290-201,APBI_V,290,201,Undergraduate,Open,Introductory Topics in Applied Biology,W2,31,0,0,31,33,0,Lecture,In Person Learning,Camila Cavalli
APBI_V 311-001,APBI_V,311,001,Undergraduate,Open,"Comparative Cardiovascular, Respiratory and Osmoregulatory Physiology",W2,24,0,0,24,50,0,Lecture,In Person Learning,Colin Brauner
APBI_V 314-003,APBI_V,314,003,Undergraduate,Waitlist,Animals and Society,W2,80,0,14,80,80,15,Lecture,In Person Learning,Amelia Macrae
APBI_V 315-001,APBI_V,315,001,Undergraduate,Waitlist,Animal Welfare and the Ethics of Animal Use,W2,70,0,16,70,70,20,Lecture,In Person Learning,
APBI_V 316-001,APBI_V,316,001,Undergraduate,Closed,"Equine Biology, Health and Welfare",W2,50,0,5,50,50,5,Lecture,In Person Learning,Amelia Macrae
APBI_V 317-002,APBI_V,317,002,Undergraduate,Preliminary,Welfare and Ethics of using Animals in Science,W2,0,0,0,0,50,0,Lecture,Online Learning,Catherine Schuppli
APBI_V 342-001,APBI_V,342,001,Undergraduate,Closed,Soil Biology,W2,14,0,0,14,14,0,Lecture,In Person Learning,Akshit Puri
APBI_V 342-L01,APBI_V,342,L01,Undergraduate,Closed,Soil Biology,W2,14,0,0,14,14,0,Laboratory,In Person Learning,Christopher Chanway
APBI_V 360-001,APBI_V,360,001,Undergraduate,Open,Agroecology II: Ecology of Agricultural Systems,W2,30,0,0,30,48,0,Lecture,In Person Learning,Risa Sargent
APBI_V 361-199,APBI_V,361,199,Undergraduate,Closed,Key Indicators of Agroecosystem Sustainability,W2,48,0,6,48,50,6,Lecture,Online Learning,Delisa Lewis
APBI_V 402-002,APBI_V,402,002,Undergraduate,Open,Sustainable Soil Management,W2,46,0,0,46,48,0,Lecture,In Person Learning,"Maja Krzic

Sandra Brown"
APBI_V 405-002,APBI_V,405,002,Undergraduate,Open,Plant-Water Relations for Sustainable Agriculture,W2,15,0,0,15,40,0,Lecture,In Person Learning,Thorsten Knipfer
APBI_V 412-001,APBI_V,412,001,Undergraduate,Preliminary,Belowground Ecosystems,W2,0,0,0,0,0,0,Lecture,In Person Learning,
APBI_V 415-001,APBI_V,415,001,Undergraduate,Preliminary,Applied Animal Behaviour,W2,0,0,0,0,35,10,Lecture,Hybrid Learning,
APBI_V 419-201,APBI_V,419,201,Undergraduate,Closed,Fish Health,W2,35,0,0,35,35,0,Lecture,Online Learning,Paige Adrienne Ackerman
APBI_V 423-001,APBI_V,423,001,Undergraduate,Open,Ecological Restoration,W2,33,0,0,33,40,0,Lecture,In Person Learning,Alex Moore
APBI_V 428-201,APBI_V,428,201,Undergraduate,Closed,Integrated Pest Management,W2,50,0,0,50,50,0,Lecture,Online Learning,Yasmin Akhtar
APBI_V 463-002,APBI_V,463,002,Undergraduate,Open,Insects in Agroecosystems,W2,11,0,0,11,30,0,Lecture,In Person Learning,Juli Carrillo
APBI_V 490-D_201,APBI_V,490,D_201,Undergraduate,Preliminary,Advanced Topics in Applied Biology,W2,0,0,0,0,0,0,Lecture,Hybrid Learning,
APBI_V 490-E_202,APBI_V,490,E_202,Undergraduate,Closed,Advanced Topics in Applied Biology,W2,36,0,15,36,36,15,Lecture,In Person Learning,Alex Boo
APBI_V 496-A_002,APBI_V,496,A_002,Undergraduate,Closed,Applied Animal Biology Practicum,W2,0,0,0,0,0,0,Experiential,In Person Learning,Sara Dubois
APBI_V 496-B_002,APBI_V,496,B_002,Undergraduate,Closed,Applied Animal Biology Practicum,W2,0,0,0,0,0,0,Experiential,In Person Learning,Sara Dubois
APBI_V 497-A_002,APBI_V,497,A_002,Undergraduate,Closed,Directed Studies,W2,0,0,0,0,0,0,Independent Study,In Person Learning,
APBI_V 497-B_002,APBI_V,497,B_002,Undergraduate,Closed,Directed Studies,W2,5,0,0,5,0,0,Independent Study,In Person Learning,
APBI_V 497-C_002,APBI_V,497,C_002,Undergraduate,Closed,Directed Studies,W2,0,0,0,0,0,0,Independent Study,In Person Learning,
APBI_V 497-D_002,APBI_V,497,D_002,Undergraduate,Closed,Directed Studies,W2,0,0,0,0,0,0,Independent Study,In Person Learning,
APBI_V 497-E_102,APBI_V,497,E_102,Undergraduate,Closed,Directed Studies,W2,0,0,0,0,0,0,Independent Study,In Person Learning,
APBI_V 498-102,APBI_V,498,102,Undergraduate,Closed,Undergraduate Essay,W2,0,0,0,0,0,0,Seminar,In Person Learning,
APBI_V 499-102,APBI_V,499,102,Undergraduate,Closed,Undergraduate Thesis,W2,0,0,0,0,0,0,Thesis,In Person Learning,
FNH_V 160-201,FNH_V,160,201,Undergraduate,Closed,Integrated Physiology for Human Nutrition I,W2,87,0,20,87,87,20,Lecture,In Person Learning,Elizabeth Novak
FNH_V 161-201,FNH_V,161,201,Undergraduate,Open,Integrated Physiology for Human Nutrition II,W2,121,0,2,121,125,30,Lecture,In Person Learning,Elizabeth Novak
FNH_V 200-103,FNH_V,200,103,Undergraduate,Open,Exploring Our Food,W2,123,0,14,123,150,50,Lecture,In Person Learning,Azita Madadi Noei
FNH_V 200-104,FNH_V,200,104,Undergraduate,Closed,Exploring Our Food,W2,148,2,50,150,150,50,Lecture,Online Learning,Danielle Schultze
FNH_V 250-002,FNH_V,250,002,Undergraduate,Open,Nutrition Concepts and Controversies,W2,121,0,23,121,125,30,Lecture,In Person Learning,Gail Hammond
FNH_V 303-001,FNH_V,303,001,Undergraduate,Open,Food Product Development,W2,52,0,20,52,64,20,Lecture,In Person Learning,Anubhav Pratap-Singh
FNH_V 309-001,FNH_V,309,001,Undergraduate,Open,Food Processing,W2,60,0,30,60,75,30,Lecture,In Person Learning,Anubhav Pratap-Singh
FNH_V 309-D01,FNH_V,309,D01,Undergraduate,Open,Food Processing,W2,60,0,0,60,75,0,Discussion,In Person Learning,Anubhav Pratap-Singh
FNH_V 326-001,FNH_V,326,001,Undergraduate,Closed,Food Science Laboratory II,W2,16,0,0,16,15,0,Laboratory,In Person Learning,Vasileios Kontogiorgos
FNH_V 326-002,FNH_V,326,002,Undergraduate,Closed,Food Science Laboratory II,W2,15,0,0,15,15,0,Laboratory,In Person Learning,Vasileios Kontogiorgos
