Course Section,Section Title
AANB_V 504,Research Methodology in Applied Animal Biology
APBI_V 200,Introduction to Soil Science
APBI_V 210,Vascular Plants
APBI_V 214,Animal Sheltering and Companion Animal Support Services
APBI_V 244,Atmospheric Environments
APBI_V 260,Agroecology I: Introduction to principles and techniques
APBI_V 265,Sustainable Agriculture and Food Systems
APBI_V 290,Introductory Topics in Applied Biology
APBI_V 311,"Comparative Cardiovascular, Respiratory and Osmoregulatory Physiology"
APBI_V 312,Reproductive and Digestive Physiology
APBI_V 313,Experimental Analysis of Animal Behaviour
APBI_V 314,Animals and Society
APBI_V 315,Animal Welfare and the Ethics of Animal Use
APBI_V 316,"Equine Biology, Health and Welfare"
APBI_V 317,Welfare and Ethics of using Animals in Science
APBI_V 318,Applied Plant Breeding
APBI_V 319,Aquaculture and the Environment
APBI_V 324,Introduction to Seed Plant Taxonomy
APBI_V 327,Introduction to Entomology
APBI_V 328,Weed Science
APBI_V 342,Soil Biology
APBI_V 351,Plant Physiology
APBI_V 360,Agroecology II: Ecology of Agricultural Systems
APBI_V 361,Key Indicators of Agroecosystem Sustainability
APBI_V 398,Research Methods in Applied Biology
APBI_V 401,Soil Processes
APBI_V 402,Sustainable Soil Management
APBI_V 403,"Soil Sampling, Analyses and Data Interpretation"
APBI_V 405,Plant-Water Relations for Sustainable Agriculture
APBI_V 406,Pollination Biology
APBI_V 410,Applied Animal Health and Physiology
APBI_V 412,Belowground Ecosystems
APBI_V 414,Animals and Global Issues
APBI_V 415,Applied Animal Behaviour
APBI_V 416,Compassionate Conservation
APBI_V 419,Fish Health
APBI_V 422,Indigenous Food Systems in Canada
APBI_V 423,Ecological Restoration
APBI_V 426,Plant-Microbe Interactions
APBI_V 427,Insect Ecology
APBI_V 428,Integrated Pest Management
APBI_V 440,Plant Genomics
APBI_V 442,Wine Grape and Berry Biology
APBI_V 444,Agroforestry
APBI_V 460,Agroecology III: Synthesis and evaluation
APBI_V 463,Insects in Agroecosystems
APBI_V 490B,
APBI_V 490C,
APBI_V 490D,
APBI_V 490E,
APBI_V 490F,
APBI_V 490H,
AQUA_V 505,Ecological Sustainability of Aquaculture
FNH_V 160,Integrated Physiology for Human Nutrition I
FNH_V 161,Integrated Physiology for Human Nutrition II
FNH_V 200,Exploring Our Food
FNH_V 250,Nutrition Concepts and Controversies
FNH_V 300,Food Engineering
FNH_V 301,Food Chemistry
FNH_V 302,Food Analysis
FNH_V 303,Food Product Development
FNH_V 309,Food Processing
FNH_V 313,Food Microbiology
FNH_V 326,Food Science Laboratory II
FNH_V 330,Introduction to Wine Science I
FNH_V 335,Introduction to Wine Science II
FNH_V 340,Food Theory and Applications
FNH_V 342,Critical Perspectives on Consumer Food Practices
FNH_V 345,Counselling Skills in Dietetics
FNH_V 350,Fundamentals of Nutrition
FNH_V 351,"Vitamins, Minerals, and Health"
FNH_V 355,International Nutrition
FNH_V 370,Nutrition Assessment
FNH_V 371,Human Nutrition Over The Life Span
FNH_V 375,Nutrition Care I
FNH_V 380,Professional Dietetic Practice I
FNH_V 398,Research Methods in Human Nutrition
FNH_V 401,Advances in Plant and Cell-Based Foods
FNH_V 402,Functional Foods
FNH_V 403,"Food Laws, Regulations and Quality Assurance"
FNH_V 404,Food Safety and Quality Management
FNH_V 405,Microbiology of Food and Beverage Fermentation
FNH_V 413,Food Safety
FNH_V 414,Sustainability in the Food Industry
FNH_V 415,"Business Concepts in Food, Nutrition, and Health"
FNH_V 419,Interfacial Phenomena
FNH_V 440,Food Service Systems Management
FNH_V 451,Nutrient Metabolism and Implications for Health
FNH_V 455,Applied International Nutrition
FNH_V 470,Nutrition Care II
FNH_V 472,Maternal and Fetal Nutrition
FNH_V 473,Applied Public Health Nutrition
FNH_V 474,Sport Nutrition
